CO Description,PO/PSO Description,Score (0-3)
Understand orthographic projections of points and straight lines.,"Job analysis: Identify, formulate, inquiry literature, and analyze complex engineering problems reaching substantiated conclusion use world class rationale of math, natural sciences, and engineering sciences.",2
Analyze methods of unconventional machining and identify suitable method for a given component and understand jigs & fixtures.,"Utilise the concepts of mechanical engineering science in power propagation, aerospace, environmental, bio - aesculapian, self propelled, sustainable energy scheme and with suitable refuge precautions.",2
Design and work up applications with built - in modules and filing cabinet.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Implement the Intellectual Property Rights to a new product or a process.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
"Understand the need, accuracy and associated construct of additive and angular measurements.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Describe the decentralisation and cryptographic primitive.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Understand the key concepts of Additive manufacturing,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Understand fundamentals of supply chain and its key concepts.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Identify magnetic and dielectric materials for engineering applications,Apply their learning to design and develop basic mechanical systems and processes.,0
Estimate the conversion of heat supplied by the fuel to various other forms of energy in an I.C engine.,"Doings investigations of complex problems: Habit research - based knowledge and including design of experimentation, analysis and interpretation of data, and synthesis of the information to provide valid conclusion.",1
Examine problems of limited complexity in buckling and dynamic analysis.,"Communicating: Communicate effectively on complex engineering science activeness with the engineering science community and with the society at large, such as, being able to comprehend and save effective news report and design documentation, make effective presentations, and give and receive vindicated instructions.",3
Assess the realization of Fundamental Rights and Directive Principle of Res publica Policy.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Analyze balancing problems in rotating and reciprocating machinery,"The engineer and company: Apply reasoning inform by the contextual knowledge to assess societal, health, safety, effectual, and cultural issues and the consequent responsibilities relevant to the professional engineering practice session.",1
Examine problems of limited complexity in buckling and dynamic analysis.,"Problem analysis: Identify, formulate, enquiry literature, and analyze complex engineering problems attain confirm conclusion apply foremost principles of mathematics, natural scientific discipline, and engineering sciences.",3
Become conversant with appropriate use of CAD software for drafting and able to draw conic sections.,"Communicating: Communicate effectively on complex engineering activities with the engineering community and with the society at big, such as, being capable to comprehend and write good reports and design documentation, urinate effectual presentment, and give and receive clear instructions.",3
"Formulate 2D structural components using triangular element for plane stress, plane strain and axi-symmetric problems.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
"Demonstrate the use of sensors (Ultrasonic, inland revenue, Synchronous converter Encoder) for Arduino interfacing, read data, and integrate them seamlessly into robotics lotion.","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
Select the suitable actuator for various electrical and mechanical systems.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
"Analyze various vista of Demand Analytic thinking, Supplying and Requirement Forecasting.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Exhibit the knowledge of Rural Institutions and contributing to Community’s Socio-Economic improvements.,Apply their learning to design and develop basic mechanical systems and processes.,0
"Acquire the knowledge of electrical wires, cables, earthing, Electrical safety precautions to be followed in electrical installations and electric shock and its safety and energy calculations.","Life - tenacious encyclopaedism: Recognize the need for, and take the preparation and power to engage in independent and life - long learning in the unsubtle setting of technological modification.",3
Apply hashing.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Estimate the power required and efficiency of reciprocating air compressor using the principles of thermodynamics.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Epitome and essay the propose solutions focusing on local or global societal problems,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
"Understand creativity, brainstorming and ergonomic concepts.","Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Influence the doe loss in conduit.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Implement the Intellectual Property Rights to a new merchandise beaver state a process.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Approximate the power required and efficiency of reciprocating air compressor using the principle of thermodynamics.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Find an optimum solution of problem defined by using latest Technologies.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
"Find out stresses and strains in slight, duncish cylindrical shells and able to calculate vital buckling loads in columns and struts.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Understand Production and Cost relationships to make best use of resources available.,"Behaviour investigations of complex problem: Utilisation research - base knowledge and include conception of experiments, analysis and interpretation of information, and deductive reasoning of the information to provide valid conclusions.",2
"Evaluate cutting forces using dynamometer, estimate MRR & power consumption under different cutting conditions.",Select manufacture mental process and their appropriate parameters for the production of typical applied science components.,3
Identify chief parts of an automobile and its layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Decide the tour ration / performance parameters of single - phase transformer,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
"Become effectual communicator, participate in grouping discussions with trust and comprise able to make presentation in a professional context.","Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Exhibit the technique of take working medium for various non - conventional machining processes,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Exhibit a signified of social obligation.,Apply their learning to design and develop basic mechanical systems and processes.,0
Compare the diverse types of vibration,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Suggest suitable remedial measure for the problems of environmental pollution and contribute for the framing of legislation for protection of environment.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
"Illustrate different parts and their function of electrical components, equipment and machines.","Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Demonstrate the knowledge of angulate measuring and use measurement instruments as per essential.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
"Recommend suitable putz, couplings and belted ammunition drives for a throw application.","Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
"Develop empathy and respect for diversity by gaining an appreciation for different cultures, perspectives, and identities",Apply their learning to design and develop basic mechanical systems and processes.,0
Compile the cognitive content and set up comprehensive report.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Present proficient know - how and professional skills before the committee.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",2
Analyse the parametric quantity of the give coil and measurement of world power and energy in AC circuits,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
"Gain an apprehension of Rural life, Cultivation and Social reality.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Develop a sense of empathy and bonds of mutuality with Local Communities.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
"Formulate second structural components using triangular ingredient for plane strain, plane strain and axi - symmetric problem.","The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
"Understand mechanical structures, motors, sensor, and circuits essential for manufacture golem.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",3
"Analyze force in links and joints of a robot and find the singularities, Jacobian and trajectory planning of a automaton for respective tasks",Apply their learning to design and develop basic mechanical systems and processes.,0
Infer the basics of single phase transformer,"Utilise the concepts of mechanically skillful technology in power coevals, aerospace, environmental, bio - medical, automotive, sustainable vim systems and with suitable safety precaution.",3
Determine the turns ration / performance parameters of unmarried - stage transformer,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
"Design a microcontroller and microprocessor with emphasis on process controllers (P, PD, PI and PID) for a mechatronics system",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
"Acquire knowledge in the functionality, functioning and testing of hydraulic turbine",Apply their learning to design and develop basic mechanical systems and processes.,2
Identify chief parts of an auto and its layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Brand utilization of Apply constraints to assemble the component using CAD software,Apply their learning to design and develop basic mechanical systems and processes.,3
Pattern the concepts of OOPs.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Assess the realization of Fundamental Rights and Directive Principles of State Insurance.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Compare the various types of oscillations,"Direct knowledge: Go for the knowledge of mathematics, science, engine room fundamental, and an engineering specialization for the solution of complex engineering problems.",3
Understand the principles of geothermic and biogas plants.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Demonstrate the capability of comparison of various non-conventional machining methods,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Predict natural oftenness and mode shape for all uninterrupted systems.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Identify principal character of an automobile and its layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Evaluate hardness of different materials using different scales,"Lifespan - long erudition: Recognize the need for, and have the preparation and ability to engage in sovereign and life - prospicient eruditeness in the extensive context of technical change.",3
"Develop their ability to write paragraphs independently on any context with cohesion, edit essays coherently while realizing brevity through précis writing.","Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Apply inventory management techniques.,"Biography - farseeing learning: Recognize the pauperization for, and have the preparation and power to engage in independent and life - foresightful encyclopedism in the wide context of use of technological change.",3
"Evaluate cutting forces using dynamometer, estimate MRR & ability use nether dissimilar cut conditions.",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,3
Demonstrate the characteristics curves of turbines.,"Project management and finance: Demonstrate knowledge and understanding of the engineering science and management principles and give these to one ’ s own work, as a member and loss leader in a squad, to manage project and in multidisciplinary environments.",0
Correlate the oestrus treatment method and the mechanical properties find.,Apply their learning to design and develop basic mechanical systems and processes.,3
Empathise the grandness of alternative power trains for contamination mastery.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
"Apply periodic and preventive maintenance technique as require for industrial equipments like motor, pump and air compressor and machine tools etc.","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Utilise the opportunity provided by Rural Ontogenesis Programmes.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
"Acquire the cognition of electrical wire, cables, earthing, Electrical safety precautions to be succeed in electric installment and electric shock and its safety and energy calculation.","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Compare the various types of oscillation,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Determine the experimental value of heat transferral coefficient in natural and strained convection modes and equate the results with analytical values.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Collect and analyze the data using statistical techniques.,"Innovative tool usage: Create, select, and apply appropriate technique, resource, and modern engineering and IT tools, include prediction and modeling to complex engineering body process, with an apprehension of the limitation.",2
Understand Engineer ’ s province and value orientation.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Understand fundamental frequency of supply chain and it key concept.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Limit the versatile properties of fluids,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Understand ism of Indian culture.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",1
Shuffling use of Apply constraints to put together the components using CAD software,Apply their learning to design and develop basic mechanical systems and processes.,3
Develop a sense of empathy and bonds of mutualness with Local Communities.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Demonstrate the effect of damping on the plant using the DC position control system.,"Conduct investigations of complex problems: Use enquiry - base cognition and including design of experiments, psychoanalysis and rendering of data, and synthesis of the selective information to provide valid conclusions.",2
Demonstrate the knowledge of angular measurements and use measuring instruments as per requirements.,"Engineering knowledge: Apply the cognition of mathematics, science, engine room fundamentals, and an technology specialisation for the solution of complex technology trouble.",2
Analyze preprocessing and identify different post processing techniques in AM,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",1
Compare the various character of oscillations,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Assess the realization of Fundamental Right and Directive Rationale of State Policy.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Define the various IoT enable technologies and differentiate between M2M and IoT.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Analyze and choose right inventory control techniques.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Apply fundamental noesis of Managerial Economic science concepts and tools.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Analyze concurrency control and recovery mechanisms.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
"Develop their power to write paragraph independently on any context with cohesion, edit essay coherently while realizing transience through précis penning.","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
"Use TIG, MIG and spot welding machines and experiment with them.","Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Draw the different types of fasteners.,"Problem depth psychology: Identify, formulate, research literature, and analyze complex engineering science trouble touch corroborate finish using first principles of mathematics, lifelike sciences, and engineering science sciences.",3
Demonstrate standard operations on linear and nonlinear data structures.,Apply their scholarship to plan and develop introductory mechanical system and processes.,1
Determine the natural frequency of different single degree freedom vibrating systems.,"Conduct investigation of complex problem: Use enquiry - ground knowledge and including design of experiments, psychoanalysis and reading of data, and synthesis of the data to offer valid conclusions.",1
Rigidity modulus of a given quill specimen by contortion mental testing and shear modulus of closely coiled helical spring.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Identify the recent advances in the landing field of engineering / engineering.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
"Identify dissimilar type of faults present in various equipment like machine pecker, IC Engine, boilers etc.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Define the needs of the customer while designing a new product or modifying existing product in the competitive environment.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
"Distinguish wave, tidal and OTEC doe.","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
"Acquire knowledge in the functionality, performance and testing of hydraulic turbines","Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
"Analyze finite elements for 1D, 2D and 3D structures subjected to linear static analysis.",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Analyse the geometrical interpretation of Mean value theorems and curvature.,"Task direction and finance: Demonstrate knowledge and agreement of the engineering and management precept and use these to one and only ’ s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Understand the concepts of OOPs.,"Biography - long learning: Recognize the need for, and have the readiness and ability to pursue in autonomous and life - recollective erudition in the broadest context of technological change.",1
"Apply the Second law of thermodynamics to analyze heat pumps, refrigerators, oestrus engine and to pass judgment information changes.","Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Contribute for the conservation of bio-diversity.,Moral philosophy: Apply ethical principle and commit to professional ethical code and responsibilities and norms of the engineering practice.,1
Analyze and discuss the results to draw valid conclusions.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
"Apply sorting techniques, search techniques and hashing.","Direct knowledge: Apply the cognition of mathematics, science, technology fundamentals, and an engineering differentiation for the root of complex engineering problem.",2
Related material failure by fatigue and creep.,"Demeanour investigating of complex problems: Use enquiry - based cognition and including purpose of experiments, analysis and interpretation of data, and synthesis of the selective information to provide valid conclusions.",1
Understand Engineer ’ s province and ethic.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
Understand the concepts of digital manufacturing based product lifetime cycle and information technology management.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Invention machine members submit to fluctuating and impact loads.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Understand the principles of geothermal and biogas plants.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering trouble reaching substantiated conclusion using inaugural principles of maths, rude sciences, and technology sciences.",1
Predict the steady state response of RLC circuits with AC single phase/three phase supply.,"Engineering noesis: Give the cognition of mathematics, science, engine room fundamentals, and an engine room specialization for the answer of complex technology problems.",3
"Understand mechanical structures, motors, sensors, and circuits essential for constructing robots.","Individual and squad work: Affair effectively as an mortal, and as a member or drawing card in diverse squad, and in multidisciplinary setting.",3
Evaluate performance of air standard cycles and analyze the properties of gas mixtures.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Correlate the passion treatment methods and the mechanically skillful properties obtain.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Know the contribution of scientists of different eras.,"Project direction and finance: Demonstrate knowledge and understanding of the engine room and management rule and use these to unmatchable ’ s ain work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
Analyze balancing problems in rotating and reciprocating machinery,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
"Identify the natural resources and realise the importance of water, food, forest, mineral, energy, land resources and effects of over utilisation.","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Analyze the concepts of cloud storage and demonstrate their use.,"Communication: Communicate effectively on complex engineering activity with the engineering community and with the society at big, such as, being able to comprehend and save effective account and design documentation, make effectual introduction, and give and receive clear command.",1
Demonstrate usance of Measure Template Library and module to build file address / Searching / Categorization applications.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
"Explain the applications programme of fuel cell in transport, stationary and portable sector",Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Evaluate the performance of petrol and diesel engines.,"Life - long learning: Recognize the need for, and have the training and ability to engage in independent and sprightliness - long scholarship in the broadest context of use of technological change.",1
Understand the concept of Industry 4.0 and allied technologies.,Value orientation: Apply honourable principles and commit to professional ethical motive and obligation and norms of the engineering practice.,1
Prepare agenda and minutes of a meeting and demonstrate effective technical presentation skills.,"Conduct investigations of complex problems: Utilisation research - based cognition and include design of experiments, psychoanalysis and interpretation of data point, and deductive reasoning of the information to provide valid conclusions.",1
Analyze preprocessing and identify different post processing techniques in AM,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
Read the different types of fuel prison cell,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
"Relegate the mechanisms of tool wear, estimation tool life practice Taylor ’ s equivalence under assorted thin out conditions and the application of cutting fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
"Classify the mechanics of tool habiliment, estimate pecker life using Joseph deems taylor ’ s equation under various cut conditions and the application of cutting fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Underline the role of the Legislature and the Judiciary in Union Government and their mutual relations.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",0
Understand the basics of Internet of things and cloud computing pertaining the fourth industrial revolution.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",2
Apply hashing.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Liken the various types of oscillations,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Carry come out discharge measuring,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Specify the routine ration / performance parameters of single - phase angle transformer,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
"Analyze forces in links and joints of a robot and find the singularities, Jacobian and trajectory planning of a robot for various tasks","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
"Understand the concepts like data storage, indexing and transaction processing.","The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
"Understand the need, accuracy and associated concepts of linear and angular measurements.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
