Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO3,Analyze and implement various searching and sorting techniques,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO4,Implement linear and non-linear data structures.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23304,CO4,Implement linear and non-linear data structures.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO4,Implement linear and non-linear data structures.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO4,Implement linear and non-linear data structures.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO4,Implement linear and non-linear data structures.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23305,CO3,Analyze the working principles and protocols of data link layer.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23305,CO5,Identify and implement different types of application in application layer.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
