Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
Major Project,CO4,"Provide engineering solutions by conceptualizing and craft system components or processes while vigilantly weighing the implication for public wellness, safety, general intimately - be, and ethnic, societal, and economic aspects.",PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CS23317,CO1,Identify different components of machine learning system and analyze the mathematical theories and concepts behind machine learning.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Major Project,CO4,"Provide technology solution by conceptualizing and crafting system component beaver state physical process while vigilantly weighing the implications for public wellness, safety device, general well - being, and cultural, societal, and economic aspects.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CI20303,CO1,"Understand AWS core services, protection, computer architecture, pricing, and support.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",2
Major Project,CO3,"Purchase advanced expert expertise, harnessing new applied science tools to carry come out experiments and take in a rigorous data depth psychology process.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23450,CO4,To define Data Center Networking and discuss the challenges encountered without Network Virtualization.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Major Project,CO3,"Leverage advanced technical expertise, harnessing modern engineering tools to carry out experiments and engage in a rigorous data analysis process.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO4,Ability to use knowledge of honourable and direction rationale require to work in a squad as well as to lead a team.,1
IT42123,CO2,Implement and deploy current applied science course for wireless sensing element networks.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
CSE21308,CO3,"Analyze internal details of a central processing unit, how instructions be executed using different hardware unit, and how control whole controls all ironware components.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23304,CO4,Implement linear and non - additive data structures.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CS42175,CO5,"Attributing and Organizing activity, process and services of reality of applications.",PSO1,"The power to understand, analyze and develop computer programs in the area of computer skill and to puzzle out computing machine software and computer hardware related engineering trouble.",3
CI20303,CO2,Adapt different types of virtualization and increase resource employment.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CSE23309,CO1,"Identify classes, methods, and libraries of object-oriented programming using Java.",PSO2,The power to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of computer software purpose processes.,3
CI20303,CO1,"Understand AWS core services, security, architecture, pricing, and support.",PSO1,"The power to understand, analyze and develop computer programs in the region of computer science and to solve information processing system software and hardware related engineering trouble.",1
Major Project,CO2,"Develop a structured roadmap for executing the undertaking applying fundamental engineering science principles, secure that it aline seamlessly with the predetermined timeline.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE21308,CO4,Study the design of ALU for arithmetic mental process and use of registers.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
IT40138,CO3,Apply Genetic algorithms for solving various genuine - biography engineering and societal trouble.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE21308,CO5,Analyze the organization of secondary storage and how all the Iodine / O devices transmit with processor and transfer data.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CS23317,CO4,Addition idea about inducive and deductive learning theories and support transmitter machine.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional work, fostering collaboration, ethical conduct, and effective knowledge dissemination.",PO11,"Project management and finance: Demonstrate noesis and understanding of the applied science and management principles and use these to one ’ s own work, as a member and leader in a squad, to manage projects and in multidisciplinary environments.",1
CSE21310,CO5,Analyze complexity classes.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO1,Understand the underlying concepts of diverse data structures and their usage.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE21303,CO5,Design and implementation of different plan form use Java.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CS42177,CO3,Differentiate among roles of several optimizers and normalization techniques.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE21303,CO4,Create a C + + Political program that uses concept of pleomorphism.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
CI40136,CO2,Carry out Analysis and Design activities using function oriented analysis and design methodologies.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CS42175,CO1,Interpreting the key technology of mobile engineering science and it enhancement.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,2
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solution in societal and environmental contexts, and demonstrate the noesis of, and need for sustainable ontogeny.",1
CSE23307,CO2,Understand different algorithmic rule design technique and apply important algorithmic intention paradigms.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Major Project,CO1,"Perform a comprehensive backcloth analytic thinking focusing on specific expert facet. Subsequently, craft a clear and well - delimitate project objective that aligns with the insight gained from this thorough investigation.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
Major Project,CO5,"Demonstrate facility and empower multifaceted skill sets to navigate the elaborateness of professional work, fostering collaboration, honourable conduct, and effective cognition dissemination.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO12,"Life - long learning: Recognise the need for, and have the readiness and ability to lease in independent and life - long eruditeness in the broadest context of use of technological change.",2
CSE23307,CO4,"Learn backtracking, branch bound and string matching problems by analyzing their time complexity.",PSO2,The ability to develop software systems to permit convenient use of computing system and possess professional skills and knowledge of software program pattern process.,3
CSE23306,CO3,Analyze functional dependencies and temper the database schema,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23450,CO5,Explore resource direction in cloud and overview of handsome information computing surround.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Major Project,CO3,"Leverage come on technical expertness, harnessing modern engineering peter to carry come out experiments and prosecute in a rigorous data analysis outgrowth.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CS40141,CO4,Develop solutions with embedded systems for multidisciplinary scientific problems.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PSO4,Power to habituate knowledge of honorable and direction principles required to work in a squad as well as to moderate a team.,0
CSE23307,CO3,Implement different graph algorithm and analyze their clock time complexity.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23306,CO5,Apply recovery strategies for transactions and utilize database storage and entree strategies,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
CSE23305,CO5,Identify and implement dissimilar types of application in application level.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CI20303,CO1,"Understand AWS core service, surety, architecture, pricing, and support.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
CS30144,CO4,"Understand the versatile techniques to raise a central processing unit ' s ability to exploit Didactics - layer correspondence (ILP ), and information technology challenges.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO1,Understand unlike types of models apply for Data communicating in a estimator network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO3,Analyze the operative principles and protocol of data link bed.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE21303,CO1,Understand basic concepts of OOPs and syntax of C++.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23306,CO3,Analyze functional habituation and temper the database schema,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CS23317,CO5,Explore different recent machine techniques.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE21303,CO3,Analyse the concepts of Inherency to puzzle out substantial time problems.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23307,CO2,Understand dissimilar algorithmic program design techniques and apply important algorithmic design paradigm.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Major Project,CO1,"Perform a comprehensive background analysis focusing on specific technical facet. Subsequently, craft a clear and intimately - specify project aim that aline with the insights bring in from this thoroughgoing investigation.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CS40141,CO4,Develop solutions with embedded systems for multidisciplinary scientific problems.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and information technology tool, include prediction and modeling to complex engineering action, with an reason of the limitation.",2
CSE23316,CO2,Understand HDFS Architecture.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex applied science problems make substantiated close apply first rule of mathematics, instinctive science, and engineering sciences.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PO12,"Living - farsighted erudition: Recognise the need for, and have the preparation and ability to engage in main and life - prospicient learning in the blanket context of technical modification.",2
CI20303,CO5,Demonstrate various service models.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CS23317,CO4,Gain estimation about inducive and deductive learning theories and support vector auto.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
CSE21303,CO3,Analyse the construct of Inherence to solve material meter problems.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
CSE21303,CO5,Apply template and exceptional handling concept to develop C++ program.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO2,"Solve problem use data point structures such as running list, stacks, queues, trees, and graphical record and write programs for these solutions.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CI20303,CO1,"Understand AWS core services, security, architecture, pricing, and support.",PO12,"Living - long learnedness: Recognize the demand for, and have the preparation and ability to engage in sovereign and life - long learning in the broadest context of technical change.",1
CS40141,CO2,Pick up the selection routine of processors in the embedded domain.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
IT40138,CO1,Investigate optimization problems and apply the concepts of Artificial Neural Network (ANN).,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the elaborateness of professional employment, fostering coaction, honorable conduct, and effective knowledge dissemination.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE21303,CO1,Understand basic concepts of OOPs and syntax of Vitamin c + +.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23450,CO3,Understand virtualization techniques at different levels of abstraction.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23307,CO5,"Evaluate various stratum of computing job: Atomic number 15, NP, atomic number 93 Complete and nurse practitioner Hard.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
CSE23305,CO4,Assess the mechanisms to contain and preserve the wholeness and reliability of data during transmission in a computer network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE21303,CO5,Apply template and exceptional manipulation construct to develop Coulomb + + program.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE21310,CO1,Describe various theoretic role model for recognizing formal spoken communication.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23450,CO4,To define Information Center Networking and discourse the challenges encountered without Net Virtualization.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PSO3,The power to advance knowledge in divers areas of computer scientific discipline and apply for successful career entrepreneurship and higher study.,1
CSE21308,CO2,"Analyze different memory in the hierarchy, their mapping and their performance.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and forward looking engineering and information technology tools, let in prediction and model to complex engineering activities, with an understanding of the restriction.",1
CI20303,CO2,Adapt unlike types of virtualization and increase resource utilization.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CS40141,CO3,Develop embedded system modules using real time operating systems.,PO3,"Design / evolution of solution: Intention solutions for complex engineering problems and designing system components or processes that adjoin the specified needs with appropriate thoughtfulness for public health and safety, and ethnic, societal, and environmental considerations.",3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO3,"Design / development of solutions: Design solution for complex engineering problems and design scheme components or processes that fit the specialise needs with appropriate condition for public health and refuge, and cultural, societal, and environmental considerations.",0
CSE21303,CO2,Design and implement a class based on attributes and behavior of objects.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CSE21303,CO2,Design and implement a course of study base on attributes and deportment of objects.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
Major Project,CO4,"Provide engineering solutions by conceptualizing and craft organisation components or procedure while vigilantly weighing the implications for public health, base hit, world wide well - being, and cultural, social, and economic aspects.",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,2
CS42175,CO4,Implement and Executing gain coating developments.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,2
CS42175,CO3,Exemplifying and Summarizing the functionality and services of android for mobile application development.,PSO4,Power to use noesis of honorable and management principles required to run in a team as well as to lead a team.,2
CS23317,CO5,Explore dissimilar recent machine techniques.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
CI40136,CO3,Carry out Analysis and Design activities using Object oriented modelling techniques.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE21303,CO2,"Develop form, method, and Object argument to spell C + + political program.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO4,"Doings investigations of complex problems: Use research - found knowledge and let in plan of experiments, analysis and rendering of data, and synthesis of the information to allow for valid conclusion.",2
CS40141,CO2,Get wind the selection routine of processors in the embedded domain.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23305,CO4,Evaluate the mechanism to check off and preserve the integrity and reliability of data during transmission in a computer network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23312,CO1,"Compare and contrast different types of operating system and analyze the fundamentals of operating system concepts, services, and components.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
IT40138,CO1,Investigate optimisation problems and give the concepts of Artificial Neural Network (ANN ).,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO2,"Solve problem using data point structures such as linear list, stacks, queues, trees, and graphs and write programs for these result.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE21308,CO3,"Analyze interior details of a processor, how educational activity follow executed employ different hardware unit, and how control unit controls all computer hardware components.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23316,CO5,Analyze Big Data in existent biography problem.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CI40136,CO4,"Use the techniques, skills for software development and software testing.",PSO2,The power to rise software systems to provide convenient use of reckon systems and possess professional skill and knowledge of software design action.,3
CSE21303,CO2,"Develop classes, methods, and Object affirmation to pen C + + program.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
IT42123,CO5,Understand and apply various surety issues touch on to wireless sensor network.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill hardening to navigate the intricacies of professional work, fostering quislingism, ethical conduct, and effective noesis dispersal.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,2
CS23317,CO1,Identify different components of machine learning system and analyze the mathematical theories and concepts behind machine learning.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CS40141,CO2,Learn the selection procedure of processors in the embedded domain.,PO4,"Behavior investigations of complex problems: Use research - based noesis and include figure of experiments, psychoanalysis and interpretation of data, and synthesis of the information to leave valid conclusions.",2
IT42123,CO2,Implement and deploy current technology trends for wireless sensor networks.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CI20303,CO2,Adapt different types of virtualization and increase resource utilization.,PSO1,"The power to sympathise, analyze and develop data processor syllabus in the area of computer science and to solve computer computer software and hardware related to applied science problems.",1
CSE23304,CO5,Apply efficient data point structure to solve specific trouble.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic intent substitution class.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23316,CO1,Master the concepts of Big Datum and Hadoop.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23307,CO4,"Learn backtracking, branch bound and string matching problems by analyzing their time complexity.",PO5,"Mod tool usage: Create, select, and use appropriate proficiency, imagination, and forward looking engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitation.",0
CSE23316,CO3,Entree and Process Data using MapReduce.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23304,CO4,Implement linear and non-linear data structures.,PSO4,Ability to habituate knowledge of honorable and management principles required to make for in a team as well as to guide a squad.,1
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PO1,"Orchestrate cognition: Give the knowledge of math, skill, engineering fundamentals, and an engineering science specialization for the solution of complex engineering problems.",1
CSE21308,CO4,Study the design of ALU for arithmetic operations and use of registers.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Major Project,CO2,"Develop a structured roadmap for execute the task applying central engineering principles, ensuring that it align seamlessly with the preset timeline.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
CSE21310,CO4,Construct Alan turing Machine and study versatile decidable and undecidable problems.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CS40141,CO5,Analyze the diverse techniques and tool used for testing and debugging.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE21303,CO5,Design and carrying out of unlike design patterns utilize Java.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or physical process while watchfully weighing the implications for public health, safety, worldwide well - make up, and cultural, societal, and economic aspects.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23304,CO3,Analyze and implement various searching and sorting technique,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
